"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50132977","MARY'S COFFEE SHOP","Brooklyn","905","DEKALB AVENUE","11221","7189476329","Spanish","02/27/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","22",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,69260987099","-73,94061183103","303","36","028100","3049577","3017770042","BK35","POINT (-73.940611831033 40.692609870994)"
"50129524","HUNTS POINT CHINESE RESTAURANT","Bronx","901","SOUTHERN BOULEVARD","10459","6462507960","Chinese","11/22/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","19","B","11/22/2023","01/02/2026","Pre-permit (Operational) / Re-inspection","40,81954237294","-73,89289370205","202","17","008900","2005768","2027230068","BX27","POINT (-73.892893702048 40.819542372938)"
"50141989","LEMAK KITCHEN","Manhattan","42","BROADWAY","10004","2132846724",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,70626329736","-74,01290873417","101","01","000900","1000812","1000220020","MN25","POINT (-74.012908734166 40.706263297358)"
"41446106","DUNKIN","Bronx","281","BRUCKNER BOULEVARD","10454","3479724155","Donuts","03/07/2023","Violations were cited in the following area(s).","16-06","Additional nutritional information statement not posted, or additional nutritional information not provided","Not Applicable",,,,"01/02/2026","Calorie Posting / Initial Inspection","40,80515607655","-73,91090921341","201","08","002702","2094035","2025690032","BX39","POINT (-73.910909213414 40.805156076553)"
"50080523","LOPEZ FAMILY MARKET","Brooklyn","173","PARK AVENUE","11205","3472518821","Spanish","11/29/2022","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","13","A","11/29/2022","01/02/2026","Cycle Inspection / Re-inspection","40,69620109688","-73,97232561636","302","35","021100","3058034","3020320060","BK68","POINT (-73.972325616358 40.696201096884)"
"50120142","MAYAHUEL","Queens","32-07","34 AVENUE","11106","3478497002","Mexican","12/07/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","12","A","12/07/2023","01/02/2026","Pre-permit (Operational) / Initial Inspection","40,75922254761","-73,92629397784","401","22","005900","4008299","4006120003","QN70","POINT (-73.926293977842 40.759222547613)"
"50178324","GANBLAZE","Queens","37-09","COLLEGE POINT BOULEVARD","11354","7186979925",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,7600523645","-73,83484785189","407","20","087100","4620808","4049727505","QN22","POINT (-73.834847851894 40.760052364497)"
"41548686","ABA TURKISH RESTAURANT","Manhattan","325","WEST   57 STREET","10019","2129691782","Turkish","07/15/2024","Establishment re-closed by DOHMH.","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","19",,,"01/02/2026","Cycle Inspection / Reopening Inspection","40,76710056824","-73,9837834013","104","03","013900","1026049","1010480019","MN15","POINT (-73.983783401296 40.767100568243)"
"50103991","HANK'S PIZZA / LAZZARO","Manhattan","110","TRINITY PLACE","10006","2127964499","Pizza","11/29/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","29",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,70949400987","-74,01181284193","101","01","001300","1001039","1000520015","MN25","POINT (-74.011812841928 40.709494009866)"
"50118993","BAMBINO EXPRESS","Queens","760B","SENECA AVENUE","11385","3472945462","Pizza","05/15/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","45",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,70218023495","-73,90665454641","405","34","054900",,"4","QN20","POINT (-73.906654546407 40.702180234949)"
"50161704","MAS TACOS","Manhattan","2","PENN PLAZA","10121","5169835184",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,75000977422","-73,99134519403","105","03","010100","1083026","1007810002","MN17","POINT (-73.991345194031 40.750009774218)"
"50146125","PRET A MANGER","Manhattan","857","BROADWAY","10003","6468385526","Sandwiches","02/28/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","45",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,73722733286","-73,99030761804","105","03","005200","1016122","1008460019","MN13","POINT (-73.990307618042 40.737227332858)"
"50164255","WICKED WICHES","Brooklyn","356","DEVOE STREET","11211","6462434864",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,71374761327","-73,935986522","301","34","048100","3332345","3029240019","BK90","POINT (-73.935986521997 40.713747613266)"
"50117424","THE FLYING FOX TAVERN","Queens","678","WOODWARD AVENUE","11385","7186736384","American","09/13/2024","Violations were cited in the following area(s).","09C","Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.","Not Critical","13","A","09/13/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,70517989988","-73,90619948707","405","34","054900","4082941","4034680039","QN20","POINT (-73.906199487074 40.705179899878)"
"50087554","CHEFSCAPE","Manhattan","180","MAIDEN LANE","10005","9174490509","American","11/15/2022","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","11/15/2022","01/02/2026","Cycle Inspection / Re-inspection","40,705300506","-74,00487271499","101","01","000700","1000874","1000370023","MN25","POINT (-74.004872714991 40.705300506004)"
"50137018","NEW ERA RESTAURANT","Brooklyn","366","UTICA AVENUE","11213","7186070295","Caribbean","11/14/2025","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","20",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,66567025716","-73,93142976928","309","35","035100","3038126","3014140045","BK61","POINT (-73.931429769283 40.665670257161)"
"41686208","CHANG PAI","Queens","166-12","HILLSIDE AVENUE","11432","7182918222","Chinese","07/02/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","46",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,70956879039","-73,79620551901","412","24","046000","4210082","4098180062","QN61","POINT (-73.796205519005 40.709568790389)"
"50106133","GOLDEN COFFEE CORP","Bronx","728","COURTLANDT AVENUE","10451","47544998989",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,82106405644","-73,91749970997","201","17","006900","2091200","2024020005","BX34","POINT (-73.91749970997 40.821064056439)"
"41645519","NICK'S PIZZA","Bronx","1356","EAST GUN HILL ROAD","10469","7186526500","Pizza","11/04/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","27",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,87036840542","-73,8460780966","211","12","035000","2055371","2045640068","BX31","POINT (-73.846078096595 40.870368405424)"
"41424155","THE FACULTY CLUB (COLUMBIA UNIVERSITY)","Manhattan","630","WEST  168 STREET","10032","2123050092","American","06/13/2022","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","23",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,84148004837","-73,94074225347","112","10","025100","1084386","1021380040","MN36","POINT (-73.940742253472 40.84148004837)"
"50139455","ORCHIDEA","Brooklyn","4815","12 AVENUE","11219","8455387372","Jewish/Kosher","09/13/2023","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","11","A","09/13/2023","01/02/2026","Pre-permit (Operational) / Initial Inspection","40,63676062717","-73,99387485229","312","44","022000","3137399","3056340001","BK88","POINT (-73.993874852286 40.636760627171)"
"41131002","TANGRA","Queens","3923","39 PLACE",,"7187868181","Asian/Asian Fusion","01/04/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","13","A","01/04/2023","01/02/2026","Cycle Inspection / Re-inspection","0","0",,,,,"4",,
"50098364","YUMMY YUMMY CHINESE","Queens","52-73","65 PLACE","11378","7188987128","Chinese","03/28/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","26","B","03/28/2024","01/02/2026","Cycle Inspection / Re-inspection","40,73208173375","-73,90011051369","405","30","051500","4055019","4023820001","QN30","POINT (-73.900110513693 40.732081733747)"
"41491419","ITAL FUSION","Brooklyn","4705","CHURCH AVENUE","11203","3476638515","Vegetarian","06/22/2017","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","60",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,65161524147","-73,9331236574","317","41","087000","3102019","3046730042","BK91","POINT (-73.933123657396 40.651615241466)"
"40376142","LUSARDI'S RESTAURANT","Manhattan","1494","SECOND AVENUE","10075","2122492020","Italian","11/24/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","12","A","11/24/2025","01/02/2026","Cycle Inspection / Re-inspection","40,77250580327","-73,95564622554","108","05","013400","1045226","1014520050","MN31","POINT (-73.955646225535 40.772505803269)"
"40743578","EL RUMBERO","Queens","82-05","NORTHERN BOULEVARD","11372","7188033125","Latin American","10/23/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","21","Z","10/23/2025","01/02/2026","Cycle Inspection / Re-inspection","40,75557669064","-73,88520046863","403","25","032700","4034499","4014120047","QN28","POINT (-73.885200468626 40.755576690641)"
"50133839","SAPORE DI ITALIA","Brooklyn","160","IRVING AVENUE","11237","9296248813","Pizza","03/07/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","19","N",,"01/02/2026","Pre-permit (Non-operational) / Initial Inspection","40,70234146296","-73,92025476281","304","37","042900","3073883","3032470035","BK77","POINT (-73.920254762811 40.702341462962)"
"50105429","THE EDGE HARLEM KITCHEN","Manhattan","1694","PARK AVENUE","10035","9177013662",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,80109176624","-73,94192694908","111","09","018400","1053952","1017450040","MN34","POINT (-73.941926949077 40.801091766235)"
"50113072","TWIN DONUTS","Bronx","3","WEST FORDHAM ROAD","10468","7186180004","American","12/02/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","36",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,8627823","-73,90133787988","207","14","026500","2014361","2032000020","BX30","POINT (-73.901337879876 40.862782299997)"
"50092145","MI CASITA BAKERY Y RESTAURANT","Queens","109-08","NORTHERN BOULEVARD","11368","3476124580","Bakery Products/Desserts","05/19/2022","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.","Critical","43",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75784343292","-73,86008090312","403","21","038100","4042809","4017240005","QN26","POINT (-73.860080903122 40.75784343292)"
"50087052","KOKO SEAFOOD SALAD & GRILL","Manhattan","92","NAGLE AVENUE","10040","9172658878","Spanish","06/06/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","70",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,86051828304","-73,92768882037","112","10","028500","1064185","1021740093","MN35","POINT (-73.927688820366 40.860518283043)"
"50109683","JAMAICAN JERK HOUSE #1","Brooklyn","507","PINE STREET","11208","6463429896","Caribbean","10/11/2022","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","32",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,67319308511","-73,87040366968","305","42","119600","3095451","3042510001","BK82","POINT (-73.870403669679 40.673193085105)"
"41386642","RADIO STAR","Manhattan","3","WEST   35 STREET","10001","2125642520","American","11/15/2022","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","12","A","11/15/2022","01/02/2026","Cycle Inspection / Re-inspection","40,74931738544","-73,98458536666","105","04","008400","1015897","1008370036","MN17","POINT (-73.984585366659 40.749317385439)"
"41611253","DUNKIN","Bronx","950","ALLERTON AVENUE","10469","7184508356","Donuts","09/12/2024","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","22","B","09/12/2024","01/02/2026","Cycle Inspection / Re-inspection","40,8654943321","-73,85937628769","211","13","032600","2051712","2044470062","BX31","POINT (-73.859376287689 40.865494332101)"
"40950399","POLLOS A LA BRASA MARIO","Queens","83-02","37 AVENUE","11372","7184578800","Latin American","01/04/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","41","C","01/04/2023","01/02/2026","Cycle Inspection / Re-inspection","40,74984637793","-73,88322533747","403","21","028100","4036224","4014710001","QN28","POINT (-73.883225337469 40.749846377925)"
"50036332","PICCOLO TRATTORIA","Manhattan","455","MAIN STREET","10044","2127532300","Italian","07/26/2024","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","11","A","07/26/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,75918402022","-73,95198048013","108","05","023801","1087189","1013737501","MN31","POINT (-73.951980480125 40.759184020215)"
"50064881","SEAWALK RESTAURANT","Manhattan","261","DYCKMAN STREET","10034","2125689014","Caribbean","05/13/2024","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","47","N",,"01/02/2026","Cycle Inspection / Initial Inspection","40,86657367297","-73,92851378198","112","10","029500","1065057","1022470001","MN01","POINT (-73.928513781984 40.866573672969)"
"50077411","MISTER CHICKEN II","Queens","44-64","21 STREET","11101","3473306382","Chicken","02/22/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","31","C","02/22/2023","01/02/2026","Cycle Inspection / Re-inspection","40,747810498","-73,94746295135","402","26","000700","4000453","4000520048","QN31","POINT (-73.947462951347 40.747810498002)"
"50098567","MARINARA","Manhattan","379","PARK AVENUE SOUTH","10016","6466495282","Pizza","06/06/2024","Violations were cited in the following area(s).","06B","Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.","Critical","42",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,74248568444","-73,98466995503","105","02","006800","1018160","1008820088","MN21","POINT (-73.984669955025 40.742485684444)"
"50067656","FITOOR","Queens","179-22","UNION TURNPIKE","11366","7189697000","American","11/05/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","36","Z","11/05/2025","01/02/2026","Cycle Inspection / Re-inspection","40,72681384926","-73,788424401","408","24","127700","4155490","4072290016","QN06","POINT (-73.788424401 40.726813849256)"
"50136075","FLAMING GRILL BUFFET","Brooklyn","2163","TILDEN AVENUE","11226","3473654818","Chinese/Japanese","09/17/2025","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","35",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,64657080796","-73,95700952907","314","40","079400","3000000","3051260001","BK95","POINT (-73.957009529065 40.646570807963)"
"50104265","PUBLIC DISPLAY OF AFFECTION","Brooklyn","669","UNION STREET","11215","9066300245","Pizza","12/04/2025","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","24","Z","12/04/2025","01/02/2026","Cycle Inspection / Re-inspection","40,67719553941","-73,98249304661","306","39","013100","3019684","3009520001","BK37","POINT (-73.982493046614 40.677195539412)"
"41265961","EL SAZON IDEAL RESTAURANT","Bronx","148","WEST BURNSIDE AVENUE","10453","7182991365","Latin American","01/17/2025","Violations were cited in the following area(s).","15-21","Flavored tobacco products sold, offered for sale","Not Applicable",,,,"01/02/2026","Smoke-Free Air Act / Initial Inspection","40,85391645841","-73,9146030811","205","14","024501","2009121","2028790200","BX36","POINT (-73.914603081104 40.853916458405)"
"50095965","THE STAND","Manhattan","116","EAST   16 STREET","10003","9176002567","American","02/10/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","12","A","02/10/2025","01/02/2026","Cycle Inspection / Re-inspection","40,73547323941","-73,98827996102","105","02","005000","1017815","1008710070","MN21","POINT (-73.988279961022 40.735473239405)"
"50138384","PEACE CAFE","Brooklyn","23","MARCUS GARVEY BOULEVARD","11206","9174593813","Coffee/Tea","09/23/2025","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","12","A","09/23/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,69894786866","-73,94122646467","303","36","028501","3042824","3015790005","BK78","POINT (-73.94122646467 40.698947868659)"
"50119231","DUNKIN","Manhattan","370","LEXINGTON AVENUE","10017","2126824210","Donuts","11/12/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","13","A","11/12/2024","01/02/2026","Cycle Inspection / Re-inspection","40,75063901798","-73,97664118601","105","04","008000","1036150","1012950058","MN20","POINT (-73.976641186014 40.75063901798)"
"50120168","LA MARCHANDE","Manhattan","88","WALL STREET","10005","2128372089","French","12/30/2024","Violations were cited in the following area(s).","10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment","Not Critical","29",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,70527840383","-74,00753449166","101","01","000700","1000877","1000390001","MN25","POINT (-74.007534491663 40.705278403831)"
"50177409","SHAH'S HALAL FOOD","Manhattan","179","MADISON AVENUE","10016","6464040697",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,7475221054","-73,98312051278","105","02","007400","1017090","1008630062","MN17","POINT (-73.983120512781 40.7475221054)"
"50163829","JGSTEAKS LLC","Manhattan","411","8 AVENUE","10001","7182739016",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,74997980281","-73,99508069425","104","03","010300","1013535","1007540040","MN13","POINT (-73.995080694248 40.749979802805)"
"40530583","CORNER GOURMET","Manhattan","66","WEST BROADWAY","10007","2124062200","American","02/16/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","37","C","02/16/2023","01/02/2026","Cycle Inspection / Re-inspection","40,71464337504","-74,00993437853","101","01","002100","1001418","1001320001","MN24","POINT (-74.009934378528 40.71464337504)"
"41253552","KAIETEUR RESTAURANT","Queens","87-12","LEFFERTS BOULEVARD","11418","7188500787","Caribbean","05/23/2025","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","12","A","05/23/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,69957627515","-73,83069575713","409","29","012200","4442217","4093280010","QN54","POINT (-73.830695757131 40.699576275145)"
"50173399","NORTHERN BITES NYC INC.","Queens","136-20","ROOSEVELT AVENUE","11354","9299966888",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,75977790824","-73,82923542849","407","20","085300","4113546","4050190005","QN22","POINT (-73.829235428489 40.759777908235)"
"50176356","JM METRO SERVICES LLC","Manhattan","689","8 AVENUE","10036","7186791621",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,75819445658","-73,98909533195","104","03","012100","1024969","1010340032","MN15","POINT (-73.989095331946 40.758194456584)"
"41696092","TUFINO","Queens","36-08","DITMARS BOULEVARD","11105","7182784800","Italian","03/04/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","28",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,77423967777","-73,90805150522","401","22","011700","4016364","4008210031","QN72","POINT (-73.90805150522 40.774239677767)"
"50017430","COURTYARD BY MARRIOTT MANHATTAN CHELSEA","Manhattan","135","WEST   30 STREET","10001","2129676000","American","10/16/2024","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","12","A","10/16/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,74774529807","-73,99072834118","105","03","010100","1090129","1008060013","MN17","POINT (-73.990728341177 40.74774529807)"
"50167279","NOONA NOODLES INC","Manhattan","46","WEST   36 STREET","10018","9176757234",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,750549918","-73,98562453175","105","04","008400","1015911","1008370071","MN17","POINT (-73.985624531752 40.750549918)"
"50110606","EL BUEN SABOR 2","Queens","198-01","JAMAICA AVENUE","11423","5167827937","Spanish","08/29/2022","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","13","A","08/29/2022","01/02/2026","Cycle Inspection / Re-inspection","40,71343706949","-73,76111362174","412","23","048400","4222884","4104810040","QN07","POINT (-73.761113621742 40.713437069492)"
"50050945","YEMEN WHDAH","Brooklyn","6726","5 AVENUE","11220","7183335708","Middle Eastern","05/06/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","61","C","05/06/2024","01/02/2026","Cycle Inspection / Re-inspection","40,63488702641","-74,02043579938","310","47","012600","3144718","3058550040","BK31","POINT (-74.020435799382 40.634887026413)"
"41329499","PEACHES","Brooklyn","393","LEWIS AVENUE","11233","7189424162","Soul Food","09/17/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","25","Z","09/17/2025","01/02/2026","Cycle Inspection / Re-inspection","40,68191308817","-73,93483099634","303","36","029700","3047065","3016750001","BK61","POINT (-73.93483099634 40.681913088165)"
"50098078","QANOON","Manhattan","180","9 AVENUE","10011","6464855181","Middle Eastern","12/07/2021","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","17",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,74528909011","-74,00218700556","104","03","008900","1013278","1007450001","MN13","POINT (-74.002187005563 40.745289090113)"
"50036335","JUICE GENERATION","Manhattan","101","MAIDEN LANE","10038","6468824330","Juice, Smoothies, Fruit Salads","05/16/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","05/16/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,70695548683","-74,00709104103","101","01","001502","1087832","1000690006","MN25","POINT (-74.00709104103 40.70695548683)"
"41305588","BUNNY DELI","Manhattan","1522","ST NICHOLAS AVENUE","10033","2127813303","Sandwiches","12/19/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,85252513592","-73,93137014203","112","10","026900","1063788","1021570067","MN35","POINT (-73.931370142031 40.852525135916)"
"50074557","FISH VILLAGE","Queens","20-07","127 STREET","11356","7188882268","Chinese","04/04/2023","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","50",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,78144879784","-73,84141334576","407","19","091900","4099328","4041720007","QN23","POINT (-73.84141334576 40.781448797836)"
"50077271","DELI GUATELINDA","Brooklyn","6516","14 AVENUE","11219","9174562929","Latin American","03/22/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","11","A","03/22/2024","01/02/2026","Cycle Inspection / Re-inspection","40,62449435456","-73,99949206677","310","43","019400","3142299","3057540045","BK30","POINT (-73.999492066769 40.624494354563)"
"50146580","QUE RICO NYC","Staten Island","1903","VICTORY BOULEVARD","10314","6465295443","Spanish","06/06/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","21","N",,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,61272245261","-74,12741108975","501","50","015100","5011066","5003780187","SI07","POINT (-74.127411089747 40.612722452607)"
"50118860","PIZZA TOWN","Manhattan","234","CANAL STREET","10013","9178876012","Pizza","02/15/2024","Violations were cited in the following area(s).","20-08","Failure to post or conspicuously post healthy eating information","Not Critical",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,71784146015","-73,99973665775","101","01","002900","1079010","1001980027","MN27","POINT (-73.999736657748 40.717841460149)"
"50034819","BEEBE'S AT BORO HOTEL","Queens","38-28","27 STREET","11101","9179685173","American","12/14/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","24",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75502305547","-73,93538723911","401","26","003100","4539428","4003870031","QN68","POINT (-73.935387239105 40.75502305547)"
"50106222","EUN HA SOO CATERING","Queens","40-17","150 STREET","11354","8453003395",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,76325416306","-73,81422371707","407","20","116700","4114085","4050340016","QN51","POINT (-73.814223717066 40.763254163059)"
"50162285","NABHYA RESTAURANT","Queens","120-35","83 AVENUE","11415","7183743068","Indian","01/02/2025","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","17","N",,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,70846266368","-73,83174796375","409","29","077500","4079496","4033280026","QN60","POINT (-73.831747963748 40.708462663678)"
"50060589","EL MARIACHI RESTAURANT","Queens","67-12","ROOSEVELT AVENUE","11377","7183356744","Mexican","07/17/2024","Violations were cited in the following area(s).","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,7461521979","-73,89789869113","402","26","026300","4030278","4012990027","QN63","POINT (-73.897898691128 40.746152197904)"
"50121574","TIGER SUGAR","Queens","136-20","ROOSEVELT AVENUE","11354","7186872895","Coffee/Tea","08/20/2024","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","10","A","08/20/2024","01/02/2026","Cycle Inspection / Re-inspection","40,75977790824","-73,82923542849","407","20","085300","4113546","4050190005","QN22","POINT (-73.829235428489 40.759777908235)"
"50088970","CHINA XIANG","Manhattan","360","WEST   42 STREET","10036","2129676088","Chinese","09/08/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","35","Z","09/08/2025","01/02/2026","Cycle Inspection / Re-inspection","40,75791194538","-73,99144162269","104","03","011500","1024929","1010320061","MN15","POINT (-73.991441622691 40.757911945378)"
"50108910","MAISON PREMIERE","Brooklyn","298","BEDFORD AVENUE","11249","9174201455","Seafood","03/28/2023","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","2","A","03/28/2023","01/02/2026","Pre-permit (Operational) / Re-inspection","40,71419817737","-73,96149281665","301","34","055100","3062777","3023920029","BK73","POINT (-73.961492816654 40.714198177366)"
"50015981","SHUNDECK RESTAURANT","Brooklyn","2332","86 STREET","11214","9179339779","Chinese","05/29/2025","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,60005715919","-73,99076333291","311","43","030000","3185457","3068620039","BK29","POINT (-73.990763332913 40.600057159188)"
"50108438","MARWIN","Manhattan","1132","1 AVENUE","10065","9176757698","Thai","08/02/2022","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","0",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,76161637462","-73,96048342882","108","05","010602","1045313","1014570002","MN31","POINT (-73.960483428824 40.761616374622)"
